fid,model,data_type,score_func,score
6,Random Forest,test,roc_auc,0.5
6,Voting,train,accuracy,0.7343367850406586
6,Voting,validation,accuracy,0.7343735947477291
6,Voting,test,accuracy,0.7348952243906827
6,Voting,train,precision,0.7343367850406586
6,Voting,validation,precision,0.7343735947477291
6,Voting,test,precision,0.7348952243906827
6,Voting,train,recall,1.0
6,Voting,validation,recall,1.0
6,Voting,test,recall,1.0
6,Voting,train,f1,0.8468214378828888
6,Voting,validation,f1,0.846845912520418
6,Voting,test,f1,0.8471926304930457
6,Voting,train,roc_auc,0.5
6,Voting,validation,roc_auc,0.5
6,Voting,test,roc_auc,0.5
6,AdaBoost,train,accuracy,0.7343367850406586
6,AdaBoost,validation,accuracy,0.7343735947477291
6,AdaBoost,test,accuracy,0.7348952243906827
6,AdaBoost,train,precision,0.7343367850406586
6,AdaBoost,validation,precision,0.7343735947477291
6,AdaBoost,test,precision,0.7348952243906827
6,AdaBoost,train,recall,1.0
6,AdaBoost,validation,recall,1.0
6,AdaBoost,test,recall,1.0
6,AdaBoost,train,f1,0.8468214378828888
6,AdaBoost,validation,f1,0.846845912520418
6,AdaBoost,test,f1,0.8471926304930457
6,AdaBoost,train,roc_auc,0.5
6,AdaBoost,validation,roc_auc,0.5
6,AdaBoost,test,roc_auc,0.5
7,Logistic,train,accuracy,0.7232296988395768
7,Logistic,validation,accuracy,0.7235812573073118
7,Logistic,test,accuracy,0.724363701771742
7,Logistic,train,precision,0.7329157160914892
7,Logistic,validation,precision,0.7333211143695014
7,Logistic,test,precision,0.7338333745455211
7,Logistic,train,recall,0.9803568026562882
7,Logistic,validation,recall,0.9799767313697876
7,Logistic,test,recall,0.980602841653103
7,Logistic,train,f1,0.8387677969283698
7,Logistic,validation,f1,0.8388939850609356
7,Logistic,test,f1,0.8394585760382182
7,Logistic,train,roc_auc,0.496422465235762
7,Logistic,validation,roc_auc,0.4973525099205463
7,Logistic,test,roc_auc,0.4973238450895362
7,SVC,train,accuracy,0.7343367850406586
7,SVC,validation,accuracy,0.7343735947477291
7,SVC,test,accuracy,0.7348952243906827
7,SVC,train,precision,0.7343367850406586
7,SVC,validation,precision,0.7343735947477291
7,SVC,test,precision,0.7348952243906827
7,SVC,train,recall,1.0
7,SVC,validation,recall,1.0
7,SVC,test,recall,1.0
7,SVC,train,f1,0.8468214378828888
7,SVC,validation,f1,0.846845912520418
7,SVC,test,f1,0.8471926304930457
7,SVC,train,roc_auc,0.5
7,SVC,validation,roc_auc,0.5
7,SVC,test,roc_auc,0.5
7,Decision Tree,train,accuracy,0.7810909726819641
7,Decision Tree,validation,accuracy,0.7830290493749438
7,Decision Tree,test,accuracy,0.7811403903228707
7,Decision Tree,train,precision,0.8111979245226101
7,Decision Tree,validation,precision,0.8132248053574346
7,Decision Tree,test,precision,0.8117759568780021
7,Decision Tree,train,recall,0.9148137060120296
7,Decision Tree,validation,recall,0.914610250443941
7,Decision Tree,test,recall,0.91415074712714
7,Decision Tree,train,f1,0.8598956884339515
7,Decision Tree,validation,f1,0.8609429938324975
7,Decision Tree,test,f1,0.8599271287219898
7,Decision Tree,train,roc_auc,0.6631365339381106
7,Decision Tree,validation,roc_auc,0.6669292999299441
7,Decision Tree,test,roc_auc,0.6632869961845965
7,Random Forest,train,accuracy,0.7810909726819641
7,Random Forest,validation,accuracy,0.7830290493749438
7,Random Forest,test,accuracy,0.7811403903228707
7,Random Forest,train,precision,0.8111979245226101
7,Random Forest,validation,precision,0.8132248053574346
7,Random Forest,test,precision,0.8117759568780021
7,Random Forest,train,recall,0.9148137060120296
7,Random Forest,validation,recall,0.914610250443941
7,Random Forest,test,recall,0.91415074712714
7,Random Forest,train,f1,0.8598956884339515
7,Random Forest,validation,f1,0.8609429938324975
7,Random Forest,test,f1,0.8599271287219898
7,Random Forest,train,roc_auc,0.6631365339381106
7,Random Forest,validation,roc_auc,0.6669292999299441
7,Random Forest,test,roc_auc,0.6632869961845965
7,Voting,train,accuracy,0.7810909726819641
7,Voting,validation,accuracy,0.7830290493749438
7,Voting,test,accuracy,0.7811403903228707
7,Voting,train,precision,0.8111979245226101
7,Voting,validation,precision,0.8132248053574346
7,Voting,test,precision,0.8117759568780021
7,Voting,train,recall,0.9148137060120296
7,Voting,validation,recall,0.914610250443941
7,Voting,test,recall,0.91415074712714
7,Voting,train,f1,0.8598956884339515
7,Voting,validation,f1,0.8609429938324975
7,Voting,test,f1,0.8599271287219898
7,Voting,train,roc_auc,0.6631365339381106
7,Voting,validation,roc_auc,0.6669292999299441
7,Voting,test,roc_auc,0.6632869961845965
7,AdaBoost,train,accuracy,0.6736500243576452
7,AdaBoost,validation,accuracy,0.6732170159186978
7,AdaBoost,test,accuracy,0.6740264412267291
7,AdaBoost,train,precision,0.7247957978543289
7,AdaBoost,validation,precision,0.7250918843746896
7,AdaBoost,test,precision,0.7254238968765493
7,AdaBoost,train,recall,0.8956706039245571
7,AdaBoost,validation,recall,0.8939440328210152
7,AdaBoost,test,recall,0.8953165347007208
7,AdaBoost,train,f1,0.8012240047353341
7,AdaBoost,validation,f1,0.8007130124777183
7,AdaBoost,test,f1,0.8014657953692698
7,AdaBoost,train,roc_auc,0.477809629832056
7,AdaBoost,validation,roc_auc,0.4784600814181257
7,AdaBoost,test,roc_auc,0.4779530734703862
8,Logistic,train,accuracy,0.7343367850406586
8,Logistic,validation,accuracy,0.7343735947477291
8,Logistic,test,accuracy,0.7348952243906827
8,Logistic,train,precision,0.7343367850406586
8,Logistic,validation,precision,0.7343735947477291
8,Logistic,test,precision,0.7348952243906827
8,Logistic,train,recall,1.0
8,Logistic,validation,recall,1.0
8,Logistic,test,recall,1.0
8,Logistic,train,f1,0.8468214378828888
8,Logistic,validation,f1,0.846845912520418
8,Logistic,test,f1,0.8471926304930457
8,Logistic,train,roc_auc,0.5
